mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST,ID_RBD,N EVALUADO,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM_Establecimiento,valor_corte,DISTANCIA
17990392,20478.0,2,Antofagasta,571,577,502,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,NUTRICION Y DIETETICA,Coquimbo,ELQUI,LA SERENA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Coquimbo,COLEGIO TÉCNICO INDUSTRIAL DON BOSCO - CALAMA,2.0,2.0,-22.445271,-68.939529,,,,-29.879084,-71.251949,,20478.0,662.0,330.0,70.0,66.0,196.0,19.5362563827518,20.03805,858.1394888477074
1455793,7773.0,10,Los Lagos,631,664,617,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,KINESIOLOGIA,Los Lagos,LLANQUIHUE,PUERTO MONTT,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Lagos,ESCUELA EULOGIO GOYCOLEA GARAY,10.0,1.0,-41.773529,-73.128563,,,,-41.46105,-72.930594,,7773.0,168.0,132.0,13.0,10.0,13.0,13.9852944035581,20.03805,38.44632401359916
16285881,2863.0,7,Maule,577,576,492,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,FONOAUDIOLOGIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO ADVENTISTA DE MOLINA,7.0,2.0,-35.114899,-71.282631,,,,-35.40421,-71.635118,,2863.0,170.0,117.0,10.0,14.0,29.0,14.6391687071782,20.03805,45.37810367491896
12215856,16582.0,7,Maule,707,749,475,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,78,UNIVERSIDAD DE TALCA,INGENIERIA COMERCIAL,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,TECNOLOGICO NUEVO HORIZONTE,7.0,2.0,-34.981522,-71.249603,UNIVERSIDAD DE TALCA,Maule,TALCA,-35.40421,-71.635118,Universidades estatales cruch,16582.0,712.0,553.0,59.0,36.0,64.0,14.114072936156902,20.03805,58.61986767656308
22695527,2782.0,7,Maule,549,548,337,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,ADMINISTRACION PUBLICA,Maule,CURICO,CURICO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO SAN RAMON NONATO,7.0,2.0,-34.989792,-71.241379,,,,,,,2782.0,477.0,422.0,24.0,8.0,23.0,10.837868334802298,20.03805,
7207433,2782.0,7,Maule,426,429,548,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,PEDAGOGIA EN EDUCACION FISICA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO SAN RAMON NONATO,7.0,2.0,-34.989792,-71.241379,,,,-35.40421,-71.635118,,2782.0,477.0,422.0,24.0,8.0,23.0,10.837868334802298,20.03805,58.3393545959821
4537253,2787.0,7,Maule,624,642,589,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,ADMINISTRACION PUBLICA,Metropolitana,SANTIAGO,ESTACION CENTRAL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO SANTO TOMAS DE CURICO,7.0,2.0,-34.988029,-71.239807,,,,-33.444477,-70.68375,,2787.0,230.0,203.0,11.0,9.0,7.0,13.1848342962693,20.03805,179.08776794430003
19056723,16424.0,7,Maule,555,571,624,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,PSICOLOGIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,LICEO BICENTENARIO DE MOLINA MARIA DEL TRÁNSITO DE LA CRUZ,7.0,1.0,-35.113079,-71.283493,,,,-35.40421,-71.635118,,16424.0,282.0,243.0,15.0,5.0,19.0,11.4818791898125,20.03805,45.46705731538719
5605741,16417.0,7,Maule,657,692,"544,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,ENFERMERIA,Maule,CURICO,CURICO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO BICENTENARIO POLITECNICO SAN JOSE DE CURICO,7.0,2.0,-34.99118,-71.235397,,,,,,,16417.0,842.0,504.0,89.0,75.0,174.0,16.430067715840583,20.03805,
14890827,10724.0,13,Metropolitana,631,631,"515,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,MEDICINA VETERINARIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO CARAMPANGUE,13.0,3.0,-33.664078,-70.93193,,,,-33.434819,-70.662722,,,,,,,,19.03805,,35.66863932574954
