mrun,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO
739.0,20 a 24 años,2017,2019,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,143,IP AIEP,INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS,Valparaíso,SAN FELIPE DE ACONCAGUA,SAN FELIPE,Pregrado,Profesional Sin Licenciatura,3- Cambio Interno,Valparaíso
784.0,20 a 24 años,2015,2015,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,89,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN BIOLOGIA Y CIENCIAS NATURALES Y/O LICENCIATURA EN BIOLOGIA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
807.0,20 a 24 años,2018,2018,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,INGENIERIA COMERCIAL,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
808.0,20 a 24 años,2018,2018,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,COLLEGE CIENCIAS SOCIALES (LICENCIATURA),Metropolitana,SANTIAGO,MACUL,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",1- Ingreso Directo (regular),Metropolitana
814.0,20 a 24 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
832.0,20 a 24 años,2016,2016,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,PSICOLOGIA,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),La Araucanía
851.0,20 a 24 años,2018,2018,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN INFORMATICA,Metropolitana,SANTIAGO,MAIPU,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
852.0,20 a 24 años,2017,2017,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,144,IP ARCOS,CINE,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
868.0,25 a 29 años,2015,2017,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL ELECTRICA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,2- Continuidad desde plan común o Bachillerato.,Metropolitana
909.0,25 a 29 años,2014,2014,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,94,UNIVERSIDAD CATOLICA DE TEMUCO,TECNOLOGIA MEDICA,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),La Araucanía
911.0,20 a 24 años,2015,2015,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,80,UNIVERSIDAD DE TARAPACA,KINESIOLOGIA Y REHABILITACION,Arica y Parinacota,ARICA,ARICA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Arica y Parinacota
930.0,40 y más años,2020,2020,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,DIPLOMADO EN GESTION DE ORGANIZACIONES DE SALUD PUBLICAS Y PRIVADAS (E-CLASS),Metropolitana,SANTIAGO,LAS CONDES,Postítulo,Diplomado (superior a un semestre),1- Ingreso Directo (regular),Metropolitana
932.0,30 a 34 años,2011,2014,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,INGENIERIA CIVIL EN OBRAS CIVILES,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,2- Continuidad desde plan común o Bachillerato.,Los Ríos
938.0,20 a 24 años,2020,2020,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ODONTOLOGIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
951.0,25 a 29 años,2014,2014,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,88,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,ARQUITECTURA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
